"Supplementary Table 5: Overview of the best LS-SVM/RF model for all 90 therapeutic compounds with comparison to the LS-SVM AUC based on subtype and ERBB2 status. For the subset of 51 compounds with test AUC exceeding 0.7, additional information is provided on clinical trial status, comparison of GI50 with TGI, validation results of the cell line signal in the TCGA tumor samples, and most significant non-subtype related KEGG/BioCarta pathways from Supplementary Table 7.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Drug compound,Target,Clinical information,Best molecular data set,Nb cell lines (molecular),Molecular AUC,Nb molecular features,Model,Subtype AUC,Difference in AUC,GI50 vs. TGI,TCGA preva-lence,TCGA subtype,Median p-valueᴈ,# non-subtype pathways/GO categories with FDR p-value < 0.05,Sample KEGG/BioCarta pathways in order of increasing FDR p-value (restricted to maximum 10 most significant pathways) (see Supplementary Table 8 for complete results)
Lapatinib,"ERBB2, EGFR",Approved BC,RNA-seq (all features),35,0.973,33,RF,0.896,0.077,80.8,28.3,ERBB2,2.45E-15,19,Phosphatidylinositol signaling system; Phospholipase C-epsilon pathway; Adhesion Molecules on Lymphocyte; √ü-arrestins in GPCR Desensitization; Role of √ü-arrestins in the activation and targeting of MAP kinases; Roles of √ü-arrestin-dependent Recruitment of Src Kinases in GPCR Signaling
Sigma AKT1-2 inhibitor,"AKT 1, AKT2",Phase II BC,Exon array (gene level),41,0.938,37,RF,0.852,0.086,89.8,39.9,L+ ERBB2,3.94E-06,76,Glutathione metabolism; Ghrelin: Regulation of Food Intake and Energy Homeostasis; Cyanoamino acid metabolism; Glycosphingolipid biosynthesis; Platelet Amyloid Precursor Protein Pathway; Taurine and hypotaurine metabolism; O-Glycan biosynthesis
BIBW2992,"ERBB2, EGFR",Phase II for HER2+,SNP6,34,0.919,30,LS-SVM,0.811,0.108,88.4,25.1,ERBB2,4.41E-05,0,
GSK2126458,PIK3C A/B/D/G,Phase I advanced solid tumors,Exon array (gene level),41,0.907,20,RF,0.847,0.06,83.7,66.6,L+ERBB2,0.056,115,Ghrelin: Regulation of Food Intake and Energy Homeostasis; Glutathione metabolism; Glycosphingolipid biosynthesis; Dorso-ventral axis formation; Platelet Amyloid Precursor Protein Pathway; Tight junction; ALK in cardiac myocytes
GSK461364A,PLK1,Phase I advanced solid tumor,RNA-seq (gene level) + SNP6,32,0.881,8,RF,0.762,0.119,81.5,72.8,B+CL,3.80E-07,116,Platelet Amyloid Precursor Protein Pathway; Hedgehog signaling pathway; Basal cell carcinoma; Vitamin C in the Brain; Steroid hormone biosynthesis; Apoptosis; Prion diseases; Regulation of hematopoiesis by cytokines; Metabolism of xenobiotics by cytochrome P450
GSK2141795,AKT,Phase I solid + ovarian,RPPA,29,0.871,18,RF,0.778,0.093,94.1,47.4,L+ ERBB2,6.29E-06,80,*
LBH589,HDAC,Phase II mBC,RPPA,34,0.866,18,LS-SVM,0.733,0.133,87.5,48.4,L+ERBB2,7.20E-07,95,*
Everolimus,mTOR,Approved,RNA-seq (gene level) + SNP6,29,0.852,66,RF,0.815,0.037,90.7,44.4,ERBB2,3.07E-04,102,Platelet Amyloid Precursor Protein Pathway; Regulation of hematopoiesis by cytokines; Apoptosis; NF-kB Signaling Pathway; Alternative Complement Pathway; ALK in cardiac myocytes; Prion diseases; Nerve growth factor pathway (NGF)
Docetaxel,"TUBB1, BCL2",Approved BC,Methylation,39,0.832,2532,RF,0.634,0.198,58.5,68.8,B+CL,No spec,152,"Olfactory transduction; Endometrial cancer; Gastric acid secretion; Huntington's disease; Wnt signaling pathway; Activation of cAMP-dependent protein kinase, PKA; Glycosphingolipid biosynthesis; SUMOylation as a mechanism to modulate CtBP-dependent gene responses; Selenoamino acid metabolism; Insulin signaling pathway"
CGC-11047,Polyamine analog,Phase I advanced solid tumors,RNA-seq (gene level) + meth + SNP6,29,0.824,4348,RF,0.656,0.168,67.9,50.5,B,No spec,259,Olfactory transduction; Hedgehog signaling pathway; Basal cell carcinoma; Wnt signaling pathway; Long-term depression; Gastric acid secretion; Spliceosome; Neuroactive ligand-receptor interaction; Proteasome; Long-term potentiation
GSK2119563,PIK3CA,None,Exon array (gene level),41,0.821,518,RF,0.735,0.086,75.5,50.8,ERBB2,0.081,49,Ghrelin: Regulation of Food Intake and Energy Homeostasis; Cyanoamino acid metabolism; Metabolic pathways; Taurine and hypotaurine metabolism; Glutathione metabolism; Dorso-ventral axis formation; Sphingolipid metabolism; Nuclear Receptors in Lipid Metabolism and Toxicity
